group_id,plant_key_name,unit_key_name,type,name,power
59,南横浜火力発電所２号機,南横浜２号,40,2号機,35.0
59,南横浜火力発電所３号機,南横浜３号,40,3号機,35.0
60,鹿島共同発電所,３号機,40,3号機,35.0
60,鹿島共同発電所,４号機,50,4号機,35.0
60,鹿島共同発電所,５号機,42,5号機,35.0
61,常陸那珂火力発電所１号機,常陸那珂１号,33,1号機,100.0
61,常陸那珂火力発電所２号機,常陸那珂２号,33,2号機,100.0
62,常陸那珂共同火力発電所1号機,常陸那珂共同火力１号,33,1号機,65.0
63,広野火力発電所２号機,広野２号,50,2号機,60.0
63,広野火力発電所５号機,広野５号,33,5号機,60.0
63,広野火力発電所６号機,広野６号,33,6号機,60.0
64,横須賀火力発電所1号機,横須賀1号,33,1号機,65.0
64,横須賀火力発電所2号機,横須賀2号,33,2号機,65.0
65,電源開発磯子火力発電所新１号機,1号機,33,1号機,60.0
65,電源開発磯子火力発電所新２号機,2号機,33,2号機,60.0
66,鹿島火力発電所,2号機,33,2号機,64.5
67,根岸 ガス化複合発電所,単独,50,,43.145
68,日本製鉄 鹿島火力発電所,ＮＳ鹿島,32,,47.5
69,株式会社エフビット横須賀パワー　横須賀パワーステーション,単独,41,,23.97
70,中袖クリーンパワー発電所,コンバインド,41,,10.739
71,新中袖発電所,単独,41,,11.24
72,日立造船株式会社茨城工場第一発電所,2号機,41,2号機,11.358
72,日立造船株式会社茨城工場第一発電所,3号機,41,3号機,11.23
73,ゼロワットパワー株式会社　市原発電所,単独,41,,10.55
74,鹿島発電所,単独,90,,12.5
75,神栖火力発電所,単独,31,,11.2
76,鈴川エネルギーセンター発電所,単独,31,,11.2
77,新高瀬川発電所,1号機,22,1号機,32.0
77,新高瀬川発電所,2号機,22,2号機,32.0
77,新高瀬川発電所,3号機,22,3号機,32.0
77,新高瀬川発電所,4号機,22,4号機,32.0
78,玉原発電所,1号機,21,1号機,30.0
78,玉原発電所,2号機,21,2号機,30.0
78,玉原発電所,3号機,21,3号機,30.0
78,玉原発電所,4号機,21,4号機,30.0
79,葛野川発電所,1号機,21,1号機,40.0
79,葛野川発電所,2号機,21,2号機,40.0
79,葛野川発電所,4号機,21,4号機,40.0
80,今市発電所,1号機,21,1号機,35.0
80,今市発電所,2号機,21,2号機,35.0
80,今市発電所,3号機,21,3号機,35.0
81,神流川発電所,1号機,21,1号機,47.0
81,神流川発電所,2号機,21,2号機,47.0
82,塩原発電所,1号機,21,1号機,30.0
82,塩原発電所,2号機,21,2号機,30.0
82,塩原発電所,3号機,21,3号機,30.0
83,安曇発電所,1号機,22,1号機,10.5
83,安曇発電所,2号機,22,2号機,10.55
83,安曇発電所,3号機,22,3号機,10.3
83,安曇発電所,4号機,22,4号機,10.3
83,安曇発電所,5号機,22,5号機,10.3
83,安曇発電所,6号機,22,6号機,10.3
84,電源開発沼原発電所,1号機,21,1号機,22.5
84,電源開発沼原発電所,2号機,21,2号機,22.5
84,電源開発沼原発電所,3号機,21,3号機,22.5
85,浜岡原子力発電所,３号機,10,3号機,110.0
85,浜岡原子力発電所,４号機,10,4号機,113.7
85,浜岡原子力発電所,５号機,10,5号機,138.0
86,西名古屋火力発電所,７-１号機,44,7-1号機,118.82
86,西名古屋火力発電所,７-２号機,44,7-2号機,118.82
87,新名古屋火力発電所,７-１号機,42,7-1号機,24.3
87,新名古屋火力発電所,７-２号機,42,7-2号機,24.3
87,新名古屋火力発電所,７-３号機,42,7-3号機,24.3
87,新名古屋火力発電所,７-４号機,42,7-4号機,24.3
87,新名古屋火力発電所,７-５号機,42,7-5号機,24.3
87,新名古屋火力発電所,７-６号機,42,7-6号機,24.3
88,新名古屋火力発電所,８-１号機,43,8-1号機,40.0
88,新名古屋火力発電所,８-２号機,43,8-2号機,40.0
88,新名古屋火力発電所,８-３号機,43,8-3号機,40.0
88,新名古屋火力発電所,８-４号機,43,8-4号機,40.0
89,川越火力発電所,１号機,40,1号機,70.0
89,川越火力発電所,２号機,40,2号機,70.0
90,川越火力発電所,３-１号機,42,3-1号機,24.3
90,川越火力発電所,３-２号機,42,3-2号機,24.3
90,川越火力発電所,３-３号機,42,3-3号機,24.3
90,川越火力発電所,３-４号機,42,3-4号機,24.3
90,川越火力発電所,３-５号機,42,3-5号機,24.3
90,川越火力発電所,３-６号機,42,3-6号機,24.3
90,川越火力発電所,３-７号機,42,3-7号機,24.3
91,川越火力発電所,４-１号機,42,4-1号機,24.3
91,川越火力発電所,４-２号機,42,4-2号機,24.3
91,川越火力発電所,４-３号機,42,4-3号機,24.3
