エリア,グループ名,発電所名,ユニット名,発電方式,凡例のユニット名,認可出力(万kW)
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列１軸,千葉３ー１軸,MACC,3-1軸,50.0
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列２軸,千葉３ー２軸,MACC,3-2軸,50.0
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列３軸,千葉３ー３軸,MACC,3-3軸,50.0
TOKYO,JERA 横浜火力,横浜火力発電所7号系列２軸,横浜７ー２軸,ACC,7-2軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所7号系列３軸,横浜７ー３軸,ACC,7-3軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所7号系列４軸,横浜７ー４軸,ACC,7-4軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所７号系列１軸,横浜７ー１軸,ACC,7-1軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列１軸,横浜８ー１軸,ACC,8-1軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列２軸,横浜８ー２軸,ACC,8-2軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列３軸,横浜８ー３軸,ACC,8-3軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列４軸,横浜８ー４軸,ACC,8-4軸,37.7
TOKYO,JERA 上越火力,上越火力発電所,１-１号機,ACC,1-1号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,１-２号機,ACC,1-2号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,２-１号機,ACC,2-1号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,２-２号機,ACC,2-2号機,59.5
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列１軸,鹿島７ー１軸,ACC,7-1軸,42.0
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列２軸,鹿島７ー２軸,ACC,7-2軸,42.0
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列３軸,鹿島７ー３軸,ACC,7-3軸,42.0
TOKYO,(株)コベルコパワー真岡 真岡,真岡発電所,1号機,MACC,1号機,62.41
TOKYO,(株)コベルコパワー真岡 真岡,真岡発電所,2号機,MACC,2号機,62.41
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,1,ACC,1号機,40.71
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,2,ACC,2号機,40.71
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,3,ACC,3号機,40.71
TOKYO,JERA 品川火力,品川火力発電所１号系列１軸,品川１ー１軸,ACC,1-1軸,38.0
TOKYO,JERA 品川火力,品川火力発電所１号系列２軸,品川１ー２軸,ACC,1-2軸,38.0
TOKYO,JERA 品川火力,品川火力発電所１号系列３軸,品川１ー３軸,ACC,1-3軸,38.0
TOKYO,川崎天然ガス発電(株) 川崎天然ガス,川崎天然ガス発電所,川天1号機,ACC,1号機,41.3
TOKYO,川崎天然ガス発電(株) 川崎天然ガス,川崎天然ガス発電所,川天2号機,ACC,2号機,41.3
TOKYO,JFEスチール JFE千葉IPP,ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション,ＪＦＥ千葉ＩＰＰ,CC,,46.61
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所１号機,袖ケ浦１号,LNG,1号機,60.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所２号機,袖ケ浦２号,LNG,2号機,100.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所３号機,袖ケ浦３号,LNG,3号機,100.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所４号機,袖ケ浦４号,LNG,4号機,100.0
TOKYO,JERA 東扇島火力,東扇島火力発電所１号機,東扇島１号,LNG,１号機,100.0
TOKYO,JERA 東扇島火力,東扇島火力発電所２号機,東扇島２号,LNG,２号機,100.0
TOKYO,JERA 南横浜火力,南横浜火力発電所１号機,南横浜１号,LNG,1号機,35.0
TOKYO,JERA 南横浜火力,南横浜火力発電所２号機,南横浜２号,LNG,2号機,35.0
TOKYO,JERA 南横浜火力,南横浜火力発電所３号機,南横浜３号,LNG,3号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,３号機,LNG,3号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,４号機,OIL,4号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,５号機,ACC,5号機,35.0
TOKYO,JERA 常陸那珂火力,常陸那珂火力発電所１号機,常陸那珂１号,USC,1号機,100.0
TOKYO,JERA 常陸那珂火力,常陸那珂火力発電所２号機,常陸那珂２号,USC,2号機,100.0
TOKYO,JERA 常陸那珂共同火力,常陸那珂共同火力発電所1号機,常陸那珂共同火力１号,USC,1号機,65.0
TOKYO,JERA 広野火力,広野火力発電所２号機,広野２号,OIL,2号機,60.0
TOKYO,JERA 広野火力,広野火力発電所５号機,広野５号,USC,5号機,60.0
TOKYO,JERA 広野火力,広野火力発電所６号機,広野６号,USC,6号機,60.0
TOKYO,JERA 横須賀火力,横須賀火力発電所1号機,横須賀1号,USC,1号機,65.0
TOKYO,JERA 横須賀火力,横須賀火力発電所2号機,横須賀2号,USC,2号機,65.0
TOKYO,電源開発 磯子火力,電源開発磯子火力発電所新１号機,1号機,USC,1号機,60.0
TOKYO,電源開発 磯子火力,電源開発磯子火力発電所新２号機,2号機,USC,2号機,60.0
TOKYO,鹿島パワー(株) 鹿島火力,鹿島火力発電所,2号機,USC,2号機,64.5
TOKYO,ENEOS 根岸ガス化複合,根岸 ガス化複合発電所,単独,OIL,,43.145
TOKYO,日本製鉄 鹿島火力,日本製鉄 鹿島火力発電所,ＮＳ鹿島,SC,,47.5
TOKYO,(株)エフビット横須賀パワー 横須賀パワーステーション,株式会社エフビット横須賀パワー　横須賀パワーステーション,単独,CC,,23.97
TOKYO,(株)中袖クリーンパワー 中袖クリーンパワー,中袖クリーンパワー発電所,コンバインド,CC,,10.739
TOKYO,(株)新中袖発電所 新中袖,新中袖発電所,単独,CC,,11.24
TOKYO,日立造船(株) 茨城工場第一,日立造船株式会社茨城工場第一発電所,2号機,CC,2号機,11.358
TOKYO,日立造船(株) 茨城工場第一,日立造船株式会社茨城工場第一発電所,3号機,CC,3号機,11.23
TOKYO,ゼロワットパワー(株) 市原,ゼロワットパワー株式会社　市原発電所,単独,CC,,10.55
TOKYO,ENEOS 鹿島,鹿島発電所,単独,OTHER,,12.5
TOKYO,かみすパワー(株) 神栖火力,神栖火力発電所,単独,SUB_C,,11.2
TOKYO,鈴川エネルギーセンター(株) 鈴川エネルギーセンター,鈴川エネルギーセンター発電所,単独,SUB_C,,11.2
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,1号機,HYBRID_PUMPED,1号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,2号機,HYBRID_PUMPED,2号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,3号機,HYBRID_PUMPED,3号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,4号機,HYBRID_PUMPED,4号機,32.0
TOKYO,東京電力RP 玉原,玉原発電所,1号機,PUMPED,1号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,2号機,PUMPED,2号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,3号機,PUMPED,3号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,4号機,PUMPED,4号機,30.0
TOKYO,東京電力RP 葛野川,葛野川発電所,1号機,PUMPED,1号機,40.0
TOKYO,東京電力RP 葛野川,葛野川発電所,2号機,PUMPED,2号機,40.0
TOKYO,東京電力RP 葛野川,葛野川発電所,4号機,PUMPED,4号機,40.0
TOKYO,東京電力RP 今市,今市発電所,1号機,PUMPED,1号機,35.0
TOKYO,東京電力RP 今市,今市発電所,2号機,PUMPED,2号機,35.0
TOKYO,東京電力RP 今市,今市発電所,3号機,PUMPED,3号機,35.0
TOKYO,東京電力RP 神流川,神流川発電所,1号機,PUMPED,1号機,47.0
TOKYO,東京電力RP 神流川,神流川発電所,2号機,PUMPED,2号機,47.0
TOKYO,東京電力RP 塩原,塩原発電所,1号機,PUMPED,1号機,30.0
TOKYO,東京電力RP 塩原,塩原発電所,2号機,PUMPED,2号機,30.0
TOKYO,東京電力RP 塩原,塩原発電所,3号機,PUMPED,3号機,30.0
TOKYO,東京電力RP 安曇,安曇発電所,1号機,HYBRID_PUMPED,1号機,10.5
TOKYO,東京電力RP 安曇,安曇発電所,2号機,HYBRID_PUMPED,2号機,10.55
TOKYO,東京電力RP 安曇,安曇発電所,3号機,HYBRID_PUMPED,3号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,4号機,HYBRID_PUMPED,4号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,5号機,HYBRID_PUMPED,5号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,6号機,HYBRID_PUMPED,6号機,10.3
TOKYO,電源開発 沼原,電源開発沼原発電所,1号機,PUMPED,1号機,22.5
TOKYO,電源開発 沼原,電源開発沼原発電所,2号機,PUMPED,2号機,22.5
TOKYO,電源開発 沼原,電源開発沼原発電所,3号機,PUMPED,3号機,22.5
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,３号機,NUCLEAR,3号機,110.0
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,４号機,NUCLEAR,4号機,113.7
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,５号機,NUCLEAR,5号機,138.0
CHUBU,JERA 西名古屋火力,西名古屋火力発電所,７-１号機,MACC2,7-1号機,118.82
CHUBU,JERA 西名古屋火力,西名古屋火力発電所,７-２号機,MACC2,7-2号機,118.82
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-１号機,ACC,7-1号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-２号機,ACC,7-2号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-３号機,ACC,7-3号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-４号機,ACC,7-4号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-５号機,ACC,7-5号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-６号機,ACC,7-6号機,24.3
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-１号機,MACC,8-1号機,40.0
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-２号機,MACC,8-2号機,40.0
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-３号機,MACC,8-3号機,40.0
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-４号機,MACC,8-4号機,40.0
CHUBU,JERA 川越火力1号機2号機,川越火力発電所,１号機,LNG,1号機,70.0
CHUBU,JERA 川越火力1号機2号機,川越火力発電所,２号機,LNG,2号機,70.0
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-１号機,ACC,3-1号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-２号機,ACC,3-2号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-３号機,ACC,3-3号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-４号機,ACC,3-4号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-５号機,ACC,3-5号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-６号機,ACC,3-6号機,24.3
CHUBU,JERA 川越火力3号系列,川越火力発電所,３-７号機,ACC,3-7号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-１号機,ACC,4-1号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-２号機,ACC,4-2号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-３号機,ACC,4-3号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-４号機,ACC,4-4号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-５号機,ACC,4-5号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-６号機,ACC,4-6号機,24.3
CHUBU,JERA 川越火力4号系列,川越火力発電所,４-７号機,ACC,4-7号機,24.3
CHUBU,JERA 知多火力,知多火力発電所,５号機,ACC,5号機,70.0
CHUBU,JERA 知多火力,知多火力発電所,６号機,ACC,6号機,85.4
CHUBU,JERA 知多第二火力,知多第二火力発電所,１号機,ACC,1号機,85.4
CHUBU,JERA 知多第二火力,知多第二火力発電所,２号機,ACC,2号機,85.4
CHUBU,JERA 四日市火力,四日市火力発電所,４-１号機,CC,4-1号機,11.7
CHUBU,JERA 四日市火力,四日市火力発電所,４-２号機,CC,4-2号機,11.7
CHUBU,JERA 四日市火力,四日市火力発電所,４-３号機,CC,4-3号機,11.7
CHUBU,JERA 四日市火力,四日市火力発電所,４-４号機,CC,4-4号機,11.7
CHUBU,JERA 四日市火力,四日市火力発電所,４-５号機,CC,4-5号機,11.7
